"Can you name a standard treatment for leukemia, lymphocytic, susceptibility to?","A standard treatment for lymphocytic leukemia (e.g., **acute lymphoblastic leukemia or ALL**) includes **chemotherapy regimens** such as vincristine, prednisone, and anthracyclines (e.g., doxorubicin). For cases with specific genetic mutations like **Ph+ ALL (Philadelphia chromosome)**, **tyrosine kinase inhibitors (TKIs)** (e.g., imatinib) are used. Targeted therapies or **monoclonal antibodies** (e.g., rituximab for B-cell ALL) and **CAR T-cell therapy** are also employed in relapsed/refractory cases. Treatment depends on subtype, genetic profile, and disease stage.",acute lymphoblastic leukemia,acute lymphocytic leukemia,indication,vincristine,vincristine,Hallucination,No edge between 'acute lymphocytic leukemia' and 'vincristine'.
"Can you name a standard treatment for leukemia, lymphocytic, susceptibility to?","A standard treatment for lymphocytic leukemia (e.g., **acute lymphoblastic leukemia or ALL**) includes **chemotherapy regimens** such as vincristine, prednisone, and anthracyclines (e.g., doxorubicin). For cases with specific genetic mutations like **Ph+ ALL (Philadelphia chromosome)**, **tyrosine kinase inhibitors (TKIs)** (e.g., imatinib) are used. Targeted therapies or **monoclonal antibodies** (e.g., rituximab for B-cell ALL) and **CAR T-cell therapy** are also employed in relapsed/refractory cases. Treatment depends on subtype, genetic profile, and disease stage.",acute lymphoblastic leukemia,acute lymphocytic leukemia,indication,prednisone,prednisone,Hallucination,No edge between 'acute lymphocytic leukemia' and 'prednisone'.
"Can you name a standard treatment for leukemia, lymphocytic, susceptibility to?","A standard treatment for lymphocytic leukemia (e.g., **acute lymphoblastic leukemia or ALL**) includes **chemotherapy regimens** such as vincristine, prednisone, and anthracyclines (e.g., doxorubicin). For cases with specific genetic mutations like **Ph+ ALL (Philadelphia chromosome)**, **tyrosine kinase inhibitors (TKIs)** (e.g., imatinib) are used. Targeted therapies or **monoclonal antibodies** (e.g., rituximab for B-cell ALL) and **CAR T-cell therapy** are also employed in relapsed/refractory cases. Treatment depends on subtype, genetic profile, and disease stage.",acute lymphoblastic leukemia,acute lymphocytic leukemia,indication,doxorubicin,doxorubicin,Hallucination,No edge between 'acute lymphocytic leukemia' and 'doxorubicin'.
"Can you name a standard treatment for leukemia, lymphocytic, susceptibility to?","A standard treatment for lymphocytic leukemia (e.g., **acute lymphoblastic leukemia or ALL**) includes **chemotherapy regimens** such as vincristine, prednisone, and anthracyclines (e.g., doxorubicin). For cases with specific genetic mutations like **Ph+ ALL (Philadelphia chromosome)**, **tyrosine kinase inhibitors (TKIs)** (e.g., imatinib) are used. Targeted therapies or **monoclonal antibodies** (e.g., rituximab for B-cell ALL) and **CAR T-cell therapy** are also employed in relapsed/refractory cases. Treatment depends on subtype, genetic profile, and disease stage.",ph+ acute lymphoblastic leukemia,acute lymphoblastic/lymphocytic leukemia,indication,imatinib,imatinib,Hallucination,No edge between 'acute lymphoblastic/lymphocytic leukemia' and 'imatinib'.
"Can you name a standard treatment for leukemia, lymphocytic, susceptibility to?","A standard treatment for lymphocytic leukemia (e.g., **acute lymphoblastic leukemia or ALL**) includes **chemotherapy regimens** such as vincristine, prednisone, and anthracyclines (e.g., doxorubicin). For cases with specific genetic mutations like **Ph+ ALL (Philadelphia chromosome)**, **tyrosine kinase inhibitors (TKIs)** (e.g., imatinib) are used. Targeted therapies or **monoclonal antibodies** (e.g., rituximab for B-cell ALL) and **CAR T-cell therapy** are also employed in relapsed/refractory cases. Treatment depends on subtype, genetic profile, and disease stage.",b-cell acute lymphoblastic leukemia,,indication,rituximab,,Unverifiable,Disease 'b-cell acute lymphoblastic leukemia' not found in dataset.
For what disease would a doctor usually prescribe rifapentine?,"Rifapentine is typically prescribed for tuberculosis (TB), especially multidrug-resistant TB (MDR-TB), in combination with other anti-TB medications. It is used to shorten treatment duration in specific regimens and for latent TB infection in certain cases. Always taken with other drugs (e.g., moxifloxacin, pyrazinamide) to prevent resistance.",tuberculosis,tuberculosis,indication,rifapentine,rifapentine,Hallucination,No edge between 'tuberculosis' and 'rifapentine'.
For what disease would a doctor usually prescribe rifapentine?,"Rifapentine is typically prescribed for tuberculosis (TB), especially multidrug-resistant TB (MDR-TB), in combination with other anti-TB medications. It is used to shorten treatment duration in specific regimens and for latent TB infection in certain cases. Always taken with other drugs (e.g., moxifloxacin, pyrazinamide) to prevent resistance.",multidrug-resistant tuberculosis,multidrug-resistant tuberculosis,indication,rifapentine,rifapentine,Hallucination,No edge between 'multidrug-resistant tuberculosis' and 'rifapentine'.
For what disease would a doctor usually prescribe rifapentine?,"Rifapentine is typically prescribed for tuberculosis (TB), especially multidrug-resistant TB (MDR-TB), in combination with other anti-TB medications. It is used to shorten treatment duration in specific regimens and for latent TB infection in certain cases. Always taken with other drugs (e.g., moxifloxacin, pyrazinamide) to prevent resistance.",latent tuberculosis infection,,indication,rifapentine,,Unverifiable,Disease 'latent tuberculosis infection' not found in dataset.
What is a common medication used to treat anthrax septicemia?,"A common medication used to treat anthrax septicemia is **ciprofloxacin**, a fluoroquinolone antibiotic. Other first-line options include **doxycycline** (a tetracycline) and **penicillin**, depending on resistance patterns and patient factors. Prompt treatment is critical, and combinations with antitoxins may be used in severe cases. Always follow CDC or local health authority guidelines for confirmed cases.",anthrax septicemia,anthrax septicemia,indication,ciprofloxacin,ciprofloxacin,Hallucination,No edge between 'anthrax septicemia' and 'ciprofloxacin'.
What is a common medication used to treat anthrax septicemia?,"A common medication used to treat anthrax septicemia is **ciprofloxacin**, a fluoroquinolone antibiotic. Other first-line options include **doxycycline** (a tetracycline) and **penicillin**, depending on resistance patterns and patient factors. Prompt treatment is critical, and combinations with antitoxins may be used in severe cases. Always follow CDC or local health authority guidelines for confirmed cases.",anthrax septicemia,anthrax septicemia,indication,doxycycline,doxycycline,Hallucination,No edge between 'anthrax septicemia' and 'doxycycline'.
What is a common medication used to treat anthrax septicemia?,"A common medication used to treat anthrax septicemia is **ciprofloxacin**, a fluoroquinolone antibiotic. Other first-line options include **doxycycline** (a tetracycline) and **penicillin**, depending on resistance patterns and patient factors. Prompt treatment is critical, and combinations with antitoxins may be used in severe cases. Always follow CDC or local health authority guidelines for confirmed cases.",anthrax septicemia,anthrax septicemia,indication,penicillin,penicillin v,Hallucination,No edge between 'anthrax septicemia' and 'penicillin v'.
I read that antipyrine is used to treat hepatosplenic t-cell lymphoma. Is this accurate?,"Antipyrine is not used to treat hepatosplenic T-cell lymphoma (HSTCL). It is an analgesic/antipyretic drug with no established role in cancer therapy. HSTCL is typically managed with aggressive chemotherapy (e.g., CHOP regimen) or other targeted therapies. Always consult an oncologist for evidence-based treatment options.",hepatosplenic t-cell lymphoma,hepatosplenic t-cell lymphoma,not indication,antipyrine,antipyrine,Hallucination,No edge between 'hepatosplenic t-cell lymphoma' and 'antipyrine'.
"If a patient has scarlet fever, what drug is usually prescribed?","The usual prescribed drug is **penicillin V** (125-250 mg, 4 times daily for 10 days). For penicillin-allergic patients, alternatives include **azithromycin** (500 mg/day for 3-5 days) or **clarithromycin**/**clindamycin**. Completing the full course is critical to prevent complications like rheumatic fever or antibiotic resistance. Always confirm allergy status and follow local guidelines.",penicillin allergy,,contraindication,penicillin v,,Unverifiable,Disease 'penicillin allergy' not found in dataset.
"If a patient has scarlet fever, what drug is usually prescribed?","The usual prescribed drug is **penicillin V** (125-250 mg, 4 times daily for 10 days). For penicillin-allergic patients, alternatives include **azithromycin** (500 mg/day for 3-5 days) or **clarithromycin**/**clindamycin**. Completing the full course is critical to prevent complications like rheumatic fever or antibiotic resistance. Always confirm allergy status and follow local guidelines.",penicillin allergy,,indication,azithromycin,,Unverifiable,Disease 'penicillin allergy' not found in dataset.
"If a patient has scarlet fever, what drug is usually prescribed?","The usual prescribed drug is **penicillin V** (125-250 mg, 4 times daily for 10 days). For penicillin-allergic patients, alternatives include **azithromycin** (500 mg/day for 3-5 days) or **clarithromycin**/**clindamycin**. Completing the full course is critical to prevent complications like rheumatic fever or antibiotic resistance. Always confirm allergy status and follow local guidelines.",penicillin allergy,,indication,clarithromycin,,Unverifiable,Disease 'penicillin allergy' not found in dataset.
"If a patient has scarlet fever, what drug is usually prescribed?","The usual prescribed drug is **penicillin V** (125-250 mg, 4 times daily for 10 days). For penicillin-allergic patients, alternatives include **azithromycin** (500 mg/day for 3-5 days) or **clarithromycin**/**clindamycin**. Completing the full course is critical to prevent complications like rheumatic fever or antibiotic resistance. Always confirm allergy status and follow local guidelines.",penicillin allergy,,indication,clindamycin,,Unverifiable,Disease 'penicillin allergy' not found in dataset.
Is it true that dicoumarol is indicated for dextro-transposition of the great arteries?,"No, dicoumarol is not indicated for dextro-transposition of the great arteries (d-TGA). The primary treatments for d-TGA focus on stabilizing oxygenation and hemodynamics, such as prostaglandin E1 to maintain ductal patency, oxygen therapy, and inotropic support. Anticoagulants like dicoumarol are not standard in managing this congenital heart defect unless specific coagulation abnormalities arise in other contexts.",dextro-transposition of the great arteries,dextro-transposition of the great arteries,indication,prostaglandin e1,prostaglandin e2,Hallucination,No edge between 'dextro-transposition of the great arteries' and 'prostaglandin e2'.
Is it true that dicoumarol is indicated for dextro-transposition of the great arteries?,"No, dicoumarol is not indicated for dextro-transposition of the great arteries (d-TGA). The primary treatments for d-TGA focus on stabilizing oxygenation and hemodynamics, such as prostaglandin E1 to maintain ductal patency, oxygen therapy, and inotropic support. Anticoagulants like dicoumarol are not standard in managing this congenital heart defect unless specific coagulation abnormalities arise in other contexts.",dextro-transposition of the great arteries,dextro-transposition of the great arteries,not indication,dicoumarol,dicoumarol,Hallucination,No edge between 'dextro-transposition of the great arteries' and 'dicoumarol'.
